n,p,s,rho,method,bias,variance,rmse,coverage,ci_length,avg_sparsity_g,avg_sparsity_e,screening_prop
500,800,10,0.0,Naive,-1.1018011432015133,0.012813744496576735,1.1076007871325928,0.0,0.15379225795068735,,,
500,800,10,0.0,DML,-0.011255143145830315,0.003588009676386456,0.06094823970894972,0.89,0.18230386764301823,49.894,72.69600000000001,0.64
500,800,10,0.3,Naive,-1.0035227593889657,0.010596189721482206,1.008788440820535,0.0,0.16879126916867235,,,
500,800,10,0.3,DML,0.27477562493202434,0.0028860635385704724,0.27997804841693336,0.0,0.17578434419436,45.227999999999994,73.922,0.54
500,800,30,0.0,Naive,-1.6020713065848706,0.009447328500372457,1.6050170715238288,0.0,0.09636802654473892,,,
500,800,30,0.0,DML,-0.06379763267625949,0.0037788364304026556,0.0885944375539324,0.67,0.1739175419381096,122.24999999999999,125.10400000000001,0.22
500,800,30,0.3,Naive,-1.5173926880255666,0.01901070673535282,1.52364407799486,0.0,0.10743878094403532,,,
500,800,30,0.3,DML,0.22063715431889674,0.004303298064520093,0.23018264906473898,0.03,0.17096985598135767,129.46,123.68,0.21
500,1200,10,0.0,Naive,-1.0986047586769618,0.009937011896312745,1.103118047936837,0.0,0.15207330744366854,,,
500,1200,10,0.0,DML,-0.03844885001324294,0.003105584256221856,0.0677044926394303,0.84,0.182912976202559,52.542,80.06600000000002,0.47
500,1200,10,0.3,Naive,-1.017509112644784,0.006042388477845243,1.0204739990773999,0.0,0.1654044400156373,,,
500,1200,10,0.3,DML,0.2509388306670659,0.0038666889239666745,0.25852850067356425,0.0,0.17452271928236157,50.532,83.692,0.44
500,1200,30,0.0,Naive,-1.5498689543541304,0.018596335588231164,1.5558567129588112,0.0,0.09339902168469717,,,
500,1200,30,0.0,DML,-0.0634275570125058,0.004428264316224169,0.09193105734624625,0.61,0.17206793033057557,144.516,143.458,0.27
500,1200,30,0.3,Naive,-1.4455165764882127,0.021106081938745448,1.4527987661203974,0.0,0.10665100272829442,,,
500,1200,30,0.3,DML,0.2324062606256363,0.005011543273325064,0.24294899310619994,0.03,0.17240707907659364,143.158,143.226,0.2
1000,1200,10,0.0,Naive,-1.2007709019782835,0.01688654190904214,1.2077819757500867,0.0,0.11281837395566027,,,
1000,1200,10,0.0,DML,-0.0011136730862986166,0.001003052846757183,0.03169058400377514,0.96,0.1233229297757853,75.418,52.077999999999996,0.8
1000,1200,10,0.3,Naive,-1.0079200223528684,0.015904985872490788,1.015779384183543,0.0,0.12471471786790737,,,
1000,1200,10,0.3,DML,0.29449534556761137,0.0012895922371340726,0.29667676147302274,0.0,0.12185453104937231,83.13199999999999,52.105999999999995,0.76
1000,1200,30,0.0,Naive,-1.5893071817547786,0.0009023359161183734,1.5895910335345487,0.0,0.07853898141534509,,,
1000,1200,30,0.0,DML,-0.027748523927089597,0.0014160945894816936,0.04675548277596931,0.77,0.12453147996083455,110.03399999999999,149.118,0.47
1000,1200,30,0.3,Naive,-1.5648914374532614,0.000982576453837227,1.5652053499360306,0.0,0.08510970820995471,,,
1000,1200,30,0.3,DML,0.25063409970681816,0.0017025318260789773,0.25400784192998105,0.0,0.12136074089537408,124.33200000000001,155.54600000000002,0.46
